Song,Performer,Year,Decade,Lyrics
tell him no,travis ,1959,1950,"Tell him no-oh-oh-oh
Tell him no-oh-oh-oh
When he asks for a date
Tell him no-oh-oh-oh
Tell him no
Tell him no-oh-oh-oh
Tell him no-oh-oh-oh
When he asks for a kiss
Tell him no-oh-oh-oh
Tell him no
It's alright to go to a party
It’s alright to have some fun
It's alright to take in a movie
But don't let him be the one
Tell him no-oh-oh-oh
Tell him no-oh-oh-oh
If he offers his ring
Tell him no-oh-oh-oh
Tell him no
Did he tell you that he loved you
And did you thrill to his charms
And did you feel much more better
When he held you in his arms
Tell him no-oh-oh-oh
Tell him no-oh-oh-oh
When he asks for a date
Tеll him no-oh-oh-oh
Tell him no
Tell him no-oh-oh-oh
Tell him no-oh-oh-oh
Tеll him no-oh-oh-oh"
all i need,the temptations,1967,1960,"Forgive this fool, my darlin'

Oh, this heart of mine
Carries a heavy load
When I think about
How I've hurt you so
After you've been
Been so good to me
I've been unfaithful, darlin'
I've caused you misery
A feeling of guilt
How it tortures me
And only you, my darlin'
Oh, can set me free and

And darlin', all
All I need
Is just to hear you say
You'll forgive me
Forgive me, baby
All, all I need
To have you touch my hand
Say you'll understand, baby
A moment of weakness, darlin'
Caused me to stray
Your trust in me, dear
I threw away

When I look
Look into your eyes
I can see the hurt, baby
That you feel inside
Although I hurt you, baby
You never once complained
It makes me feel, sweet darlin'
That much more ashamed
Tears of guilt, tears of guilt
Runnin' down my face
Tears that only you, baby
Only you can erase

And darlin', all
All I need
Is just to hear you say
You'll forgive me
Forgive me, baby
All, all I need
To have you touch my hand
Say you'll understand
Ooh
Forgive this fool, my darlin'

I know I made a big mistake
When all your love, darlin'
Yes, I did forsake
It's on my mind
It's in my heart
This guilty feeling
Tearin' me apart
With every step I make
Every breath I take
I'll make it up to you
I'll make it up to you
Undo the wrong I've done
Undo the wrong I've done
I've been unfaithful
I know it's true
But I'll make it up to you, baby

All, all I need
Is just to hear you say
You'll forgive me
Forgive me baby
All, all I need
To have you touch my hand
Say you'll understand"
sweet cherry wine,tommy james,1969,1960,"(Come on)
Everyone, we got to get together, now
Oh, yeah, love's the only thing that matters anyhow
And the beauty of life can only survive
If we love one another
Oh, yeah, yesterday my friends were marching out to war
Oh, yeah, listen, now, we ain't a-marching anymore
No, we ain't going to fight, only God has the right
To decide who's to live and die

He gave us sweet cherry wine
So very fine
We'll drink it right down
Pass it all around
So stimulating, so intoxicating
Sweet cherry wine
(All day and night)
And everybody's gonna feel so fine
Drinking sweet cherry wine
Yes, they will

Watch the mountain turn to dust and blow away
Oh, Lord, you know there's got to be a better way
And the old masquerade is a no soul parade
Marching through the ruins of time
To save us, he gave us
Sweet cherry wine, so very fine
We'll drink it right down
Pass it all around
So stimulating, so intoxicating
Sweet cherry wine
Everybody's gonna feel so fine
Drinking sweet cherry wine

Oh, sweet cherry wine
So very fine
We'll drink it right down
Pass it all around
So stimulating, so intoxicating
Sweet cherry wine
C'mon, drink it with your brother
Trust in one another
Yeah, yeah, we need each other

Sweet cherry wine
So very fine
Drink it right now
Pass it all around
People, don't you know
The cup is running over?"
an old fashioned love song,three dog night,1972,1970,"Just an old-fashioned love song
Playin' on the radio
And wrapped around the music
Is the sound of someone promising they'll never go

You swear you've heard it before
As it slowly rambles on
No need in bringin' 'em back
'Cause they're never really gone

(Just an old-fashioned love song)
(One I'm sure they wrote for you and me)
(Just an old-fashioned love song)
(Comin' down in three-part harmony)

To weave our dreams upon and listen
To each evening when the lights are low
To underscore our love affair with tenderness and feelings
That we've come to know

You swear you've heard it before
As it slowly rambles on and on and...
No need in bringin' 'em back
'Cause they're never really gone
(Just an old-fashioned love song)
(Comin' down in three-part harmony)
(Just an old-fashioned love song)
(One I'm sure they wrote for you and me)

(Just an old-fashioned love song)
(Comin' down in three-part harmony)
(Just an old-fashioned love song)
(One I'm sure they wrote for you and me)

To weave our dreams upon and listen to a song

Just an old song, comin' down
Just an old song
(One I'm sure they wrote for you and me)
Just an old song, comin' down
Just an old song (Just an old-fashioned love song)
(One I'm sure they wrote for you and me)
(Just an old-fashioned love song) Just an old song, comin' down
(Comin' down in three-part harmony)
(Just an old-fashioned love song) Just an old song
(One I'm sure they wrote for you and me)
(Just an old-fashioned love song) Just an old song, comin' down
(Comin' down in three-part harmony)
(Just an old-fashioned love song) Just an old song
(One I'm sure they wrote for you and me)"
crack a bottle,"eminem, dr. dre ",2009,2000,"Oh! Ladies and gentlemen
The moment you've all been waiting for
In this corner, weighing 175 pounds
With a record of 17 rapes, 400 assaults, and 4 murders
The undisputed, most diabolical villain in the world
Slim Shady! (Let's go!)

So crack a bottle, let your body waddle
Don't act like a snobby model, you just hit the lotto
Oh-oh, oh-oh, bitches hoppin' in my Tahoe
Got one ridin' shotgun and no, not one of 'em got clothes
Now, where's the rubbers? Who's got the rubbers?
I noticed there's so many of 'em
And there's really not that many of us
And ladies love us, my posse's kickin' up dust
It's on 'til the break of dawn and we're starting this party from dusk

Okay, let's go!

Back with Andre the Giant, Mr. Elephant Tusk
Fix your musk, you'll be just another one bit the dust
Just one of my mother's sons who got thrown under the bus
Kiss my butt, lick fromunda cheese from under my nuts
It disgusts me to see the game the way that it looks
It's a must, I redeem my name and haters get mushed
Bitches lust, man, they love me when I lay in the cut
Fisticuffs, the lady give her eighty-some paper cuts
Now picture us; it's ridiculous, you curse at the thought
'Cause when I spit the verse the shit gets worse than Worcestershire sauce
If I could fit the words, it's picture perfect, works every time
Every verse, every line, as simple as nursery rhymes
It's elementary, the elephants have entered the room
I venture to say we're the center of attention, it's true
Not to mention back with a vengeance, so hence the signal
Of the bat symbol, the platinum trio's back on you hoes
So crack a bottle, let your body waddle
Don't act like a snobby model, you just hit the lotto
Oh-oh, oh-oh, bitches hoppin' in my Tahoe
Got one ridin' shotgun and no, not one of 'em got clothes
Now, where's the rubbers? Who's got the rubbers?
I noticed there's so many of 'em
And there's really not that many of us
And ladies love us, my posse's kickin' up dust
It's on 'til the break of dawn and we're starting this party from dusk

Ladies and gentlemen, Dr. Dre!

They see that low rider go by, they're like, ""Oh my!""
You ain't got to tell me why you're sick 'cause I know why
I dip through in that Six-Trey like, ""Sick 'em, Dre!""
I'm an itch that they can't scratch, they're sick of me
But hey, what else can I say? I love L.A.
'Cause over and above all, it's just another day
And this one begins where the last one ends
Pick up where we left off and get smashed again
I'll be damned, just fucked around and crashed my Benz
Drivin' 'round with a smashed front end, let's cash that one in
Grab another one from out the stable
The Monte Carlo, El Camino, or the El Dorado?
The hell if I know, do I want leather seats or vinyl?
Decisions, decisions, garage looks like Precision Collision
Or Maaco, beats quake like Waco
Just keep the bass low, speakers away from your face though
So crack a bottle, let your body waddle
Don't act like a snobby model, you just hit the lotto
Oh-oh, oh-oh, bitches hoppin' in my Tahoe
Got one ridin' shotgun and no, not one of 'em got clothes
Now, where's the rubbers? Who's got the rubbers?
I noticed there's so many of 'em
And there's really not that many of us
And ladies love us, my posse's kickin' up dust
It's on 'til the break of dawn and we're starting this party from dusk

And I take great pleasure in introducing 50 Cent!

It's bottle after bottle
The money ain't a thing when you party with me
It's what we into, it's simple
We ball out of control like you wouldn't believe
I'm the napalm, the bomb, the Don, I'm King Kong
Get rolled on, wrapped up, and reigned on
I'm so calm, through Vietnam, ring the alarm
Bring the Chandon, burn marijuan', do what you want
Nigga, on and on 'til the break of what?
Get the paper, man, I'm cakin', you know I don't give a fuck
I spend it like it don't mean nothin'
Blow it like it's supposed to be blown, motherfucker, I'm grown
I stunt, I style, I flash the shit (Uh huh)
I gets what the fuck I want, so what I trick? (Yeah)
Fat-ass Birkin bags, some classy shit (Haha)
Jimmy Choo shoes; I say, ""Move,"" a bitch move
So crack a bottle, let your body waddle
Don't act like a snobby model, you just hit the lotto
Oh-oh, oh-oh, bitches hoppin' in my Tahoe
Got one ridin' shotgun and no, not one of 'em got clothes
Now, where's the rubbers? Who's got the rubbers?
I noticed there's so many of 'em
And there's really not that many of us
And ladies love us, my posse's kickin' up dust
It's on 'til the break of dawn and we're starting this party from dusk"
tainted love,soft cell,1982,1980,"Sometimes I feel I've got to
Run away I've got to
Get away
From the pain you drive into the heart of me
The love we share
Seems to go nowhere
And I've lost my light
For I toss and turn I can't sleep at night

Once I ran to you (I ran)
Now, I'll run from you
This tainted love you've given
I give you all a boy could give you
Take my tears and that's not nearly all
Oh, tainted love
Tainted love

Now, I know I've got to
Run away, I've got to
Get away
You don't really want any more from me
To make things right
You need someone to hold you tight
And you think love is to pray
But I'm sorry, I don't pray that way
Once I ran to you (I ran)
Now, I'll run from you
This tainted love you've given
I give you all a boy could give you
Take my tears and that's not nearly all
Oh, tainted love
Tainted love

Don't touch me please
I cannot stand the way you tease
I love you, though you hurt me so
Now, I'm gonna pack my things and go
Tainted love, oh, tainted love, oh
Tainted love, oh, tainted love, oh
Touch me, baby, tainted love
Touch me, baby, tainted love
Tainted love, oh
Tainted love, oh
Tainted love"
redneck stomp,jeff foxworthy,1995,1990,"If you've ever been on television more than 5 times
Describing what the tornadoes sounded like...
You might be a redneck
If you've ever cut your grass and found a car...
You might be a redneck
If your dad walks you to school because your in the same grade...
You might be a redneck
If you've ever been too drunk to fish...
If somebody asks to see your ID and you show them your belt buckle..
If every day somebody comes to your house mistakenly thinking your having a
Yard sale
If you've ever had to haul a can of paint to the top of a water tower to defend
Your sister's honor..
You might be a redneck
If your dog and your wallet are both on a chain...
You might be a redneck
They always make fun of the way I talk, I keep telling them I said your gonna be
Real surprised when you get into the habit in St. Petersburg and say
""Y'all get into the truck, we goin up to the big house.""
If you've ever financed a tattoo....
If you've ever made change in the offering plate...
You might be a redneck
We have words in the south they don't have in other parts of the country..
Now, you come to the south, we have words like...yu'nt to
We goin to the mall, yu'nt to?
What letter does that start with, does anybody know?
I like this word alot...aight
That's a word in Texas...aight
Round lunch time every day, you'll hear somebody say
""hey jeet yet, naw, dju? Yu'nt to? Aight.""
If you go to the family reunion to meet women....
If you smoked during your wedding....
You might be a redneck
And last but not least
If you see a sign that says say no to crack
And it reminds you to pull your jeans up...
You might be a redneck"
along came jones,the coasters,1959,1950,"I flopped down in my easy chair and turned on channel 2
A bad gunslinger called Salty Sam was a-chasin' poor sweet Sue
He trapped her in the old sawmill and said with an evil laugh
""If you don't give me the deed to your ranch, I'll saw you all in half""
And then he grabbed her (And then?)
He tied her up (And then?)
He turned on the buzz saw (And then? And then?)
Ack-ack
And then along came Jones
Tall, thin Jones
Slow-walkin' Jones
Slow-talkin' Jones
Along came lonely, lanky Jones
Commercial came on, so I got up to get myself a snack
You should've seen what was going on by the time that I got back
Down in the old abandoned mine, sweet Sue was a-havin' fits
That villain said, ""Give me the deed to your ranch or I'll blow you all to bits""
And then he grabbed her (And then?)
He tied her up (And then?)
He lit the fuse to the dynamite (And then? And then?)
Ack-ack
And then along came Jones
Tall, thin Jones
Slow-walkin' Jones
Slow-talkin' Jones
Along came lonely, lanky Jones
I got so bugged, I turned it off and turned on another show
But there was the same old shoot-'em-up and the same old rodeo
Salty Sam was a-tryin' to stuff Sweet Sue in a burlap sack
He said, ""If you don't give me the deed to your ranch, I'm gonna throw you on the railroad track""
And then he grabbed her (And then?)
He tied her up (And then?)
He threw her on the railroad track (And then?)
A train started coming (And then? And then?)
Ack-ack
And then along came Jones
Tall, thin Jones
Slow-walkin' Jones
Slow-talkin' Jones
Along came lonely, lanky Jones
Along came lonely, lanky Jones"
cold,crossfade,2004,2000,"Looking back at me, I see that I never really got it right
I never stopped to think of you
I'm always wrapped up in things I cannot win
You are the antidote that gets me by
Somethin' strong, like a drug, that gets me high

What I really meant to say
Is I'm sorry for the way I am
I never meant to be so cold
Never meant to be so cold
What I really meant to say
Is I'm sorry for the way I am
I never meant to be so cold
Never meant to be so cold

Cold to you, I'm sorry 'bout all the lies
Maybe in a different light
You can see me stand on my own again
'Cause now I can see
You are the antidote that got me by
Somethin' strong, like a drug, that got me high

What I really meant to say
Is I'm sorry for the way I am
I never meant to be so cold
Never meant to be so cold
What I really meant to say
Is I'm sorry for the way I am
I never meant to be so cold
Never meant to be so cold
I never meant to be so cold

I never really wanted you to see
The screwed up side of me that I keep
Locked inside of me so deep
It always seems to get to me
I never really wanted you to go
So many things you should have known
I guess for me there's just no hope
I never meant to be so cold

What I really meant to say
Is I'm sorry for the way I am (Is I'm sorry for the way I am)
I never meant to be so cold
Never meant to be so cold
What I really meant to say
Is I'm sorry for the way I am (Is I'm sorry for the way I am)
I never meant to be so cold
Never meant to be so cold"
blue kiss,jane wiedlin,1985,1980,"A blue kiss coloring me goodbye
A new kiss could never feel so fine
Tomorrow I'll be livin in black and white
Why does it have to be such a blue kiss
When I kiss you
Now I color my world with a blue kiss
I've got kisses for you
Red lips kissin away my fears
A blue kiss bringin me back to tears
Why does it have to be such a blue kiss
Yea, these kisses are blue
Now I color my world with a blue kiss
I've got kisses for you
A prism of love surrounded us
Don't you see what our hearts knew
How can you chose a one-color world
When you know that I've got a rainbow for you
Last night a spectrum filled the sky
This morning it shattered with your goodbye
Why does it have to be such a blue kiss
When I kiss you
Now I color my world with a blue kiss
I've got kisses for you
Why does it have to be such a blue kiss
When I kiss you
Now I color my world with a blue kiss
I've got kisses for you
Why does it have to be such a blue kiss
When I kiss you
Now I color my world with a blue kiss
I've got kisses for you
Why did it have to be such a blue kiss
Yea, those kisses were blue
Now I color my world with a blue kiss
I've got kisses for you"
rockit,herbie hancock,1983,1980,"Don't stop it
Rock it
Don't stop it"
soul food,goodie mob,1996,1990,"My old boy from the point
But I'm from Southwest and every
Now and then I get put to the test
But I can't be stopped
Cause I gotta come true ain't got no gun
But I got my crew
Didn't come for no beef cause I don't eat steak
I got a plate of soul food chicken, rice and gravy
Not covered in too much
Drinking a cup of punch, tropical
Every last Thursday of the month

Daddy put tha hot grits on my chest in tha morning
When I was sick Mary had tha hot soup boiling
Didn't know why but it felt so good
Like some waffles in that morning
Headed back to tha woods
Now I'm full as tick
Got some soul on blast in tha cassette
Food for my brain
I haven't stopped learning yet
Hot wings from Mo-Joes
Got my forehead sweating
Celery and blue cheese on my menu next
Southern Fry won't allow my body to lie still
Tied face goons surround me like cancer drill
Me with second-hand obstables
But, only to make matters worse
Plus I'm getting pimped by this temp lady Jackie
From Optima staffing figure laughing
Shut up clown don't talk to me
Like that looking stupid of course
Living day by day and you ain't hard
Trick hell you say?

It's such a blessing when my eyes
Get to see the sun rise
I'm ready to begin
Another chance to get further away from where I've been
But I'll never forget
Everythang I went through I appreciate the shit
Because If I hada went and took the easy way
Wouldn't be the strong nigga that I am today
Everythang that I did
Different thangs I was told
Just ended up being food for my soul

Come and get yo' soul food, well well
Good old-fashioned soul food, all right
Everythang is for free
As good as it can be
Come and get some soul food
Sunday morning where you reating at?
I'm on 1365 Wichita Drive
Ole' burd working the stove ride
Churches dropping chicken in yesterday's grease
Didn't go together with this quart of Mickey's
Last night hanging over from a good time
Yeah beef is cheaper but
It's pumped with ""red dye"" between two pieces of bread
Shawty look good with dem hairy legs
Wish I could cut her up but, ma stomach come before sex
A house full of hoes now what's the ingredient
Spaghetti plus her monthly flow

They know they making it hard on the yard
Fuck Chris Darden, fuck Marcia Clark
Taking us when we're in the spotlight for a joke
Changing by the day I see it's getting bigga in my square
Looking at Lenox from the outside
With a stare no money to go inside
Tameka and Tiffany outside tripping
And skipping rope to the beats from my jeep
As I speak wuz up from the driver seat

A heaping helping of fried chicken
Macaroni and cheese and collard greens
Too big for my jeans
Smoke steams from under the lid that's on the pot
Ain't never had a lot, but thankful for
The little that I got
Why not be?
Fast food got me feeling sick
Them crackers think they slick
By trying to make this bullshit affordable
I thank the Lord that my voice was recordable
(Come an get your soul food, well, well)
Hold up C it's what I write
And Miss Lady acting like we in jail
Says she ain't got no extra hush puppies to sell
Bankhead seafood making me hit that door
With a mind full of attitude
It was a line at Tha Beautiful
JJ'S Ribshack was packed too
Looking to be one of dem days
When Momma ain't cooking
Everybody's out hunting with tha family
Looking for a little soul food

Come and get yo' soul food, well well
Good old-fashioned soul food, all right
Everythang is for free
As good as it can be
Come and get some soul food"
she got the goldmine (i got the shaft),jerry reed,1982,1980,"Well, I guess it was back in '63
When eatin' my cookin' got the better of me
So I asked this little girl I was goin' with to be my wife
Well, she said she would, so I said, ""I do""
But I'da said ""I wouldn't"" if I'da just knew
How sayin' ""I do"" was gonna screw up all of my life
Well, the first few years weren't all that bad
I'll never forget the good times we had
'Cause I'm reminded every month
When I send her the child support
Well, it wasn't too long 'til the lust all died
And I'll admit, I wasn't too surprised
The day I come home and found my suitcase sittin' out on the porch
Well, I tried to get in, she changed the lock
Then I found this note taped on the mailbox that said
""Goodbye, turkey, my attorney will be in touch,"" mhm
So I decided right then and there
I was gonna do what's right, give 'er her fair share
But brother, I didn't know her share was gonna be that much

She got the goldmine (She got the goldmine)
I got the shaft (I got the shaft)
They split it right down the middle
And then they give her the better half
Well, it all sounds sorta funny
But it hurts too much to laugh
She got the goldmine, I got the shaft
Now listen, you ain't heard nothin' yet
Why, they give her the color television set
Then they give her the house
The kids and both of the cars
See?
Well, then they start talkin' about child support
Alimony, and the costs to the court
Didn't take me long to figure out how far in the toilet I was
I'm tellin' ya, they have made a mistake
'Cause it adds up to more than this cowboy makes
Besides, everything I ever had worth takin' they've already took
While she's livin' like a queen on alimony
I'm workin' two shifts, eatin' baloney
Askin' myself, ""Why didn't you just learn how to cook?""

They give her the goldmine (She got the goldmine)
They give me the shaft (I got the shaft)
They said they're splittin' it all down the middle
But she got the better half
Well, it all sounds mighty funny
But it hurts too much to laugh
She got the goldmine, I got the shaft

Well, she got the goldmine (She got the goldmine)
I got the shaft (I got the shaft)
They split it all down the middle
And then they give her the better half
Well, I guess it all sounds funny (Ooh-ooh-ooh, ha-ha-ha)
But it hurts too much to laugh
She got the goldmine, I got the shaft

Heh, heh, they ain't kidding, I got the shaft (Ooh)
But I don't have to worry about totin' a billfold anymore (Ooh)
Ha, ha, ha, ha, ha, ha
I let my wife tote it, I'm gonna be carryin' food stamps (Ooh)
You get it judge?
I'm gonna be indebted (Ooh)
That's not funny, huh?
Huh?
Contempt of court? (Ooh)
What do you mean I'm–
Listen judge, I'm just kiddin' (Ooh)
I mean, you can't get blood out of a turnip, can ya? (Ha-ha-ha)"
blaze of glory,kenny rogers,1982,1980,"Let's go out in a blaze of glory
All good things must end
Like two heroes in a story
Let's go out like we came in
In a blaze of glory

Here we are, broken-hearted
We thought our love would never end
We fell hard when we got started
Fallin' out like we fell in

Let's go out in a blaze of glory
All good things must end
Like two heroes in a story
Let's go out like we came in
In a blaze of glory

Let's don't lie and hurt each other
That would be our worst mistake
Once again let's act like lovers
One more time for old-time's sake
Let's go out in a blaze of glory
All good things must end
Like two heroes in a story
Let's go out like we came in
In a blaze of glory
Let's go out (let's go out)
In a blaze of glory (in a blaze of glory)
All good things must end
Like two heroes (ah) in a story (in a story)
Let's go out (let's go out) like we came in (like we came in)
In a blaze of glory"
stay real,erick sermon,1993,1990,"It's on breaker 1, 2 mike checkin'
Flexin no half steppin
When I release the funky weapon
Like Ricochet ping ping ping
I make fans fell it even when I sing
The green eyed bandit coming funky with the tune yes
I'm blowing up like Tom Berenger in Platoon
I'm playing kinda ruff like Zapp
Whapp and E-Double smack to all the crossover raps black
Who ain't down with the format
When you should be wearing khakis and not dress slacks
That's wack
You trippin you better wake up and smell the coffee
And then back up off me
I serious I can't believe some people letting frontiers in
And then compare them equal boy you must be buggin
You lucky you don't catch a slug in the chest in
From the Smith and Wessons
Change the out look
Change the cover of the book
You hip hop crook and give back what you took
It's the Funk coming at cha
So don't let the crossover catch ya
Boy stay real
You better wake up and smell the coffee
(Stay real)
You better wake up

It's on again, yeah, about the fake hip hop trends
For those who can't comprehend, just ask your friends
They know the real deal of rap music
The fronting, you can't be talking loud and saying nothing
You must be true to the game you understand
And if not, I could kill you man
For being false, plus extra fake on the tape
Talking hardcore when you soft like a piece of cake
You can't put nothing pass me that horrendous
Because I've been here since Strictly Business
The era of Eric B. and Rakim, Biz
Public Enemy, Run-DMC, Whodini
The Beasties, Stetsa, Fresh Prince and Jazzy Jeff
LL, when he was rockin bells
Sucker, which fake emcee is rearranging the structure
Ban the motherfucker
And don't let this happen again
Cause rap could be gone the wind
So stay real
You better wake up and smell the coffee
(Stay real)
You better wake up

Yes, I'm back, Black, for those who might be confused
And lost and don't wanna pay the cost
Of an MC hardcore style type of human being
On the microphone when I be emceeing
Some fake the Funk and Main Source know it
How do I know? Because MTV shows it
Clowns that should be beat down on the spot
And catching nothing but speed knots, the bumbadots
I insist we veto all fake emcees
And wannabes that's worst than the AIDS disease
So wake up like a Spike Lee Joint
And don't be a knucklehead, get to the point (word 'em up)
With the Funk and pump up the volume
Make the wild tune to make the party boom!
Peace to Redman the Rap Funkadelic
The only emcee that's compared to Erick because I'm real

You better wake up and smell the coffee
(Stay real)
You better wake up
Peace, and I;m outta here
Def Squad
Nineteen-nineties
Melo in the house, word
To the fucking year 2000
3000, word up!"
3 little words,nu flavor,2000,2000,"Never believed in love at first sight
But I believe what i'm feeling tonight
Cause when I saw you across the room
I felt my heart going boom boom boom
I looked, I fell so hard
Girl I know you can tell that
I'm hooked on you, oh girl
You know i'm falling for you because
I looked, I fell so hard
Girl I know you can tell that
I'm hooked on you, oh girl
You know I'm falling for you because
One look in your eyes
I knew we two would always be together
And there are 3 little words that say it all
I love you
Girl I realize that I wanna be with you forever
So SAY those 3 little words I wanna hear
I love you
I was waiting for a sign from you
Hoping you'd feel the same way too
When you looked at me and smiled
My heart was going a thousand miles
I stopped, turned around
I tried to keep my feet of the ground
As I stepped to you we touched
I knew you were feeling it too because
One look in your eyes
I knew we two would always be together
And there are 3 little words that say it all
I love you
Girl I realize that I wanna be with you forever
So SAY those 3 little words I wanna hear
I love you
I know it's written all over my face
And girl you can believe it's true
That time could never erase these feelings I have for you
One look in your eyes
I knew we two would always be together
And there are 3 little words that say it all
I love you
Girl I realize that I wanna be with you forever
So SAY those 3 little words I wanna hear
I love you"
straight up,chante moore,2000,2000,"Yeah, oh, ah, ah, ah
You know what it is
When your head go back and forth
So so def, ha, ha
Chanté, 2K (Ooh)
Baby, come on, come on, come on

Straight up I can love you forever, yo (Yeah)
'Cause you're the kind of guy I can settle for
I'm not the type to love you and let you go
Let me know, it's now or it's never, yo
'Cause I know them other girls try and do you in (Yeah)
But I'm not the average girl you've been fooling with
'Cause those other females are counterfeit
But everything all up here's legit

It's like this, like this, like that, baby
Put the other girls way to the back, baby (Yeah)
So you know I'm not just talking that stuff, baby
Call me up and let me know what's up, baby (What's up?)

Here's the number to my cell
Now hit me on the hip
Here's the number to the crib where I really live
(Straight up) I'm not thinking 'bout them other chicks
(Straight up) They ain't even coming close to this
Here's the number to my job
Or call me in the whip
Now how many chicks you know come with this?
(Straight up) 'Cause I'm tryna put you on to this
(Straight up) And I'm not just talking it
So tell me, baby, are you spoken for (spoken for)?
'Cause I don't see a ring on your finger, boy (finger, boy)
Excuse me if I'm bold with my question now
But I'm not looking for a hit and run
Don't you tell me how those other girls used to be
Just think about you getting used to me
I'ma show you everything you tryna see
I'ma put you right where you need to be (need to be)

It's like this, like this, like that, baby
Put the other girls way to the back, baby (Aw)
So you know I'm not just talking that stuff, baby
Call me up and let me know what's up, baby (What's up?)

Here's the number to my cell
Now hit me on the hip
Here's the number to the crib where I really live
(Straight up) I'm not thinking 'bout them other chicks
(Straight up) They ain't even coming close to this
Here's the number to my job
Or call me in the whip
Now how many chicks you know come with this?
(Straight up) 'Cause I'm tryna put you on to this
(Straight up) And I'm not just talking it (not talking it)
A lot of girls won't do the things I do (do)
A lot of girls won't say the things I say (say)
Know that all of this is true (true)
Talking 'bout me loving you
(Please believe) Boy, I do
Coming straight up asking me
Lettin' you know what I'm about (Yeah)
With a game sweeter than can be
So, baby, won't you check me out?

Y'all know what it is
When your head go back and forth
Y'all know what it is
When your head go back and forth
(Straight up, straight up, what's up?)

Here's the number to my cell
Now hit me on the hip
Here's the number to the crib where I really live
(Straight up) I'm not thinking 'bout them other chicks
(Straight up) They ain't even coming close to this
Here's the number to my job
Or call me in the whip
Now how many chicks you know come with this?
(Straight up) 'Cause I'm tryna put you on to this
(Straight up) And I'm not just talking it
Here's the number to my cell
Now hit me on the hip
Here's the number to the crib where I really live
(Straight up) I'm not thinking 'bout them other chicks
(Straight up) They ain't even coming close to this
Here's the number to my job
Or call me in the whip
Now how many chicks you know come with this?
(Straight up) 'Cause I'm tryna put you on to this
(Straight up) And I'm not just talking it, talking it
Here's the number to my cell
Now hit me on the hip
Here's the number to the crib where I really live
(Straight up) I'm not thinking 'bout them other chicks
(Straight up) They ain't even coming close to this
Here's the number to my job
Or call me in the whip
Now how many chicks you know come with this?
(Straight up) 'Cause I'm tryna put you on to this
(Straight up) And I'm not just talking it"
runaway love,linda clifford,1978,1970,"Hey, baby, where you going?
Now wait a minute
You can't leave now
Now we been through this before
And I'm tired, that's right
Sick and tired of the
Same old thing over and over
You're a runaway love
You're a runaway love
You're a runaway love
You're a runaway love
You're slick here
Playing with my feelings
You keep messing 'round
Playing with my heart
I find the things that you say
They don't have no meaning
And that is why I know
We're gonna have to part
You're a runaway love
You're a runaway love
You're a runaway love
You're a runaway love
Oh, stop playing with my heart
If you don't mean it
And stop playing with my love
If you don't care
Don't go around making jokes
'Bout how you're using me
'Cause I ain't got no
Heartaches to spare
You're a runaway love
You're a runaway love
(Just-a keep on running away)
(Run away, run away)
You're a runaway love
(Running, running, running)
You're a runaway love
Don't come around
Holding me and kissing me
Talking all that jive
And getting my feelings up
If you're leaving me and running
Off to someone else's arms
Breaking up my heart and soul
And leaving me stuck
With all my tears
Heartaches and emotions
I'm all hung up with
Love and devotions
So stop messing with my heart
If you don't mean it
And stop messing with my love
If you don't care
Don't come here
Talking 'bout loving, no
You are using me
'Cause I ain't got no
Heartaches to spare
You're a runaway love
(Just a-running, just a-running)
(In and out of my life)
You're a runaway love
(Where you gonna)
(Run to this time, baby?)
You're a runaway love
(You can go if you want to)
(You can go, you can go)
You're a runaway love
(Don't come back next time)
Ow, get down, uh-huh
Yeah, shake it
Uh-huh, do your thing
Don't you feel it
Don't you feel it, yeah, yeah
Don't come around
Holding me and kissing me
Talking all that jive
And getting my feelings up
Then leaving me and running
Off to someone else's arms
Breaking up my heart and soul
And leaving me stuck
With all my tears
My heartaches and emotions
I'm all hung up with
Love and devotions
So stop messing with my heart
If you don't mean it
Hey, stop messing with my love
If you don't care
Don't come here
Talking 'bout love and
You know you're using me
Baby, I ain't got no
Heartaches to spare
You're a runaway love
(Just a-running, just a-running)
(In and out of my life)
You're a runaway love
(Just a-running, keep on running)
(Run away from love)
You're a runaway love
(Just a-running, you keep running)
(Where you going?)
(Where, where you going?)
You're a runaway love
(Just a-running, just a-running)
Come here, no
Don't start that over again
You wanna leave
You go ahead and leave
It ain't gonna
Bother me no more
'Cause I'm going out
And I'm gonna get down
I'm tired of sitting here
And waiting for you to come home
And you out someplace with somebody else
I'm gonna go out and find me somebody
Yeah, gonna go dancing
Gonna go dancing, hey
I can still do it, you know
You ain't gotta be here
For me to be doing this
Yeah, go ahead
And run if you want to
Go ahead, like I said
You ain't go to stay"
